,Tweet,Sarcasm (yes/no)
4608,I just love when vegetarians happens.,yes
4609,Had a great time with musicians.,no
4610,"Had a scientists, best experience ever. Not.",yes
4611,"Had a my new phone, best experience ever. Not.",yes
4612,"Had a athletes, best experience ever. Not.",yes
4613,Can't wait for more of artists.,yes
4614,artists are genuinely amazing.,no
4615,Can't wait for more of vegetarians.,no
4616,Had a great time with vegetarians.,no
4617,Can't wait for more of the game.,yes
4618,"athletes are so wonderful, said no one ever.",yes
4619,the workshop are truly inspiring.,no
4620,this movie are genuinely amazing.,no
4621,Nothing better than a the conference moment.,yes
4622,Had a great time with this movie.,no
4623,"Everyone loves this book, right?",yes
4624,I am always excited for musicians.,no
4625,"Oh great, another doctors. Just what I needed.",yes
4626,"Oh great, another musicians. Just what I needed.",yes
4627,my new phone have always been great.,no
4628,I am always excited for my new phone.,no
4629,"writers are so wonderful, said no one ever.",yes
4630,athletes have always been great.,no
4631,Nothing better than a scientists moment.,yes
4632,the conference are truly inspiring.,no
4633,Can't wait for more of musicians.,yes
4634,this book are genuinely amazing.,no
4635,"Oh great, another the game. Just what I needed.",yes
4636,Nothing better than a the workshop moment.,yes
4637,Because scientists really make everything better.,yes
4638,"Oh great, another athletes. Just what I needed.",yes
4639,Can't wait for more of the concert.,yes
4640,Can't wait for more of artists.,yes
4641,the workshop have always been great.,no
4642,Nothing better than a engineers moment.,yes
4643,Can't wait for more of this book.,yes
4644,Had a great time with musicians.,no
4645,"Everyone loves engineers, right?",yes
4646,musicians have always been great.,no
4647,the meal are truly inspiring.,no
4648,Can't wait for more of musicians.,no
4649,"Had a the workshop, best experience ever. Not.",yes
4650,Because doctors really make everything better.,yes
4651,I am always excited for the workshop.,no
4652,"Had a the meal, best experience ever. Not.",yes
4653,Nothing better than a artists moment.,yes
4654,"Had a the concert, best experience ever. Not.",yes
4655,"Oh great, another artists. Just what I needed.",yes
4656,vegetarians are truly inspiring.,no
4657,I just love when the meal happens.,yes
4658,Had a great time with engineers.,no
4659,I find scientists to be wonderful.,no
4660,I just love when doctors happens.,yes
4661,this movie are truly inspiring.,no
4662,athletes are truly inspiring.,no
4663,I am always excited for this book.,no
4664,"Oh great, another artists. Just what I needed.",yes
4665,Had a great time with the workshop.,no
4666,I just love when the workshop happens.,yes
4667,Can't wait for more of this movie.,yes
4668,"Had a artists, best experience ever. Not.",yes
4669,Because engineers really make everything better.,yes
4670,I am always excited for vegetarians.,no
4671,the conference are truly inspiring.,no
4672,Can't wait for more of artists.,no
4673,"Oh great, another engineers. Just what I needed.",yes
4674,"the conference are so wonderful, said no one ever.",yes
4675,artists are genuinely amazing.,no
4676,"Oh great, another athletes. Just what I needed.",yes
4677,"Everyone loves the conference, right?",yes
4678,I find the conference to be wonderful.,no
4679,this movie are genuinely amazing.,no
4680,Because the meal really make everything better.,yes
4681,I genuinely love the concert.,no
4682,"Everyone loves musicians, right?",yes
4683,I find this book to be wonderful.,no
4684,I just love when the meal happens.,yes
4685,I find the meal to be wonderful.,no
4686,Had a great time with doctors.,no
4687,I am always excited for musicians.,no
4688,this movie have always been great.,no
4689,the game are genuinely amazing.,no
4690,the concert have always been great.,no
4691,I am always excited for the workshop.,no
4692,I find the workshop to be wonderful.,no
4693,Can't wait for more of the conference.,yes
4694,I just love when the game happens.,yes
4695,"Oh great, another the concert. Just what I needed.",yes
4696,I am always excited for vegetarians.,no
4697,I am always excited for this book.,no
4698,I just love when artists happens.,yes
4699,I genuinely love artists.,no
4700,the game are genuinely amazing.,no
4701,vegetarians have always been great.,no
4702,"Everyone loves vegetarians, right?",yes
4703,Nothing better than a engineers moment.,yes
4704,I find vegetarians to be wonderful.,no
4705,Had a great time with the conference.,no
4706,the concert have always been great.,no
4707,I just love when the concert happens.,yes
4708,"Had a vegetarians, best experience ever. Not.",yes
4709,Had a great time with the meal.,no
4710,"Oh great, another writers. Just what I needed.",yes
4711,"Everyone loves doctors, right?",yes
4712,I genuinely love the conference.,no
4713,I genuinely love doctors.,no
4714,doctors are truly inspiring.,no
4715,I am always excited for vegetarians.,no
4716,"Everyone loves musicians, right?",yes
4717,I find my new phone to be wonderful.,no
4718,I genuinely love vegetarians.,no
4719,Had a great time with the conference.,no
4720,I genuinely love the meal.,no
4721,I genuinely love athletes.,no
4722,Can't wait for more of the workshop.,yes
4723,Had a great time with artists.,no
4724,"artists are so wonderful, said no one ever.",yes
4725,Because athletes really make everything better.,yes
4726,I just love when engineers happens.,yes
4727,Can't wait for more of this movie.,yes
4728,"Had a the concert, best experience ever. Not.",yes
4729,the meal are genuinely amazing.,no
4730,"Had a the conference, best experience ever. Not.",yes
4731,I find the game to be wonderful.,no
4732,Can't wait for more of my new phone.,no
4733,engineers are truly inspiring.,no
4734,scientists are truly inspiring.,no
4735,"Everyone loves scientists, right?",yes
4736,artists are genuinely amazing.,no
4737,"the conference are so wonderful, said no one ever.",yes
4738,my new phone are genuinely amazing.,no
4739,I find the workshop to be wonderful.,no
4740,Can't wait for more of the game.,yes
4741,Nothing better than a musicians moment.,yes
4742,"Had a vegetarians, best experience ever. Not.",yes
4743,"Oh great, another musicians. Just what I needed.",yes
4744,my new phone are genuinely amazing.,no
4745,Because the workshop really make everything better.,yes
4746,"musicians are so wonderful, said no one ever.",yes
4747,my new phone are truly inspiring.,no
4748,"Everyone loves musicians, right?",yes
4749,vegetarians are truly inspiring.,no
4750,I genuinely love artists.,no
4751,I am always excited for engineers.,no
4752,"this movie are so wonderful, said no one ever.",yes
4753,"Had a athletes, best experience ever. Not.",yes
4754,"Had a the meal, best experience ever. Not.",yes
4755,vegetarians are truly inspiring.,no
4756,Nothing better than a my new phone moment.,yes
4757,"Oh great, another the meal. Just what I needed.",yes
4758,Nothing better than a this movie moment.,yes
4759,"Had a vegetarians, best experience ever. Not.",yes
4760,I genuinely love vegetarians.,no
4761,doctors have always been great.,no
4762,I find doctors to be wonderful.,no
4763,"Oh great, another the game. Just what I needed.",yes
4764,Because the game really make everything better.,yes
4765,Can't wait for more of the conference.,yes
4766,I am always excited for the workshop.,no
4767,doctors are genuinely amazing.,no
4768,I find athletes to be wonderful.,no
4769,the workshop have always been great.,no
4770,Because musicians really make everything better.,yes
4771,the concert are truly inspiring.,no
4772,I find athletes to be wonderful.,no
4773,"Had a engineers, best experience ever. Not.",yes
4774,I genuinely love musicians.,no
4775,Nothing better than a vegetarians moment.,yes
4776,"Everyone loves this movie, right?",yes
4777,"Had a the workshop, best experience ever. Not.",yes
4778,"Everyone loves the concert, right?",yes
4779,this book are genuinely amazing.,no
4780,writers have always been great.,no
4781,Nothing better than a the concert moment.,yes
4782,Nothing better than a this movie moment.,yes
4783,"Had a vegetarians, best experience ever. Not.",yes
4784,Can't wait for more of the concert.,no
4785,artists have always been great.,no
4786,Can't wait for more of doctors.,no
4787,Nothing better than a athletes moment.,yes
4788,I am always excited for writers.,no
4789,Can't wait for more of scientists.,no
4790,musicians are genuinely amazing.,no
4791,Had a great time with artists.,no
4792,Had a great time with this movie.,no
4793,Can't wait for more of the game.,yes
4794,"Had a vegetarians, best experience ever. Not.",yes
4795,Nothing better than a vegetarians moment.,yes
4796,"Everyone loves the concert, right?",yes
4797,"Had a vegetarians, best experience ever. Not.",yes
4798,the meal are genuinely amazing.,no
4799,Can't wait for more of the concert.,no
4800,musicians are truly inspiring.,no
4801,writers are genuinely amazing.,no
4802,I am always excited for musicians.,no
4803,Can't wait for more of this movie.,no
4804,I genuinely love athletes.,no
4805,I am always excited for this movie.,no
4806,Had a great time with engineers.,no
4807,engineers have always been great.,no
4808,athletes are genuinely amazing.,no
4809,"doctors are so wonderful, said no one ever.",yes
4810,Nothing better than a the workshop moment.,yes
4811,"engineers are so wonderful, said no one ever.",yes
4812,"Oh great, another engineers. Just what I needed.",yes
4813,"Everyone loves the concert, right?",yes
4814,Can't wait for more of the game.,yes
4815,I find this movie to be wonderful.,no
4816,writers are truly inspiring.,no
4817,"Everyone loves this book, right?",yes
4818,Because this movie really make everything better.,yes
4819,I am always excited for writers.,no
4820,"Everyone loves scientists, right?",yes
4821,Can't wait for more of musicians.,no
4822,this movie are genuinely amazing.,no
4823,"Oh great, another scientists. Just what I needed.",yes
4824,Can't wait for more of engineers.,yes
4825,I find doctors to be wonderful.,no
4826,"Everyone loves the conference, right?",yes
4827,I am always excited for scientists.,no
4828,"Everyone loves musicians, right?",yes
4829,"Oh great, another the meal. Just what I needed.",yes
4830,Had a great time with the workshop.,no
4831,Can't wait for more of engineers.,yes
4832,musicians are truly inspiring.,no
